ge,du
7879,160
604,160
9533,160
8175,160
10521,160
26524,160
6204,159
9343,159
6636,159
3717,158
8697,158
9659,158
2060,158
3265,158
87,158
329,157
59,157
11346,157
6418,157
9319,156
2,156
11064,156
9733,156
1785,156
4843,155
2783,155
6794,155
9260,155
6182,155
6605,155
6231,154
64170,154
1407,154
84078,154
6871,154
4543,154
80755,154
9958,154
10413,154
22947,154
8881,154
11198,153
159195,153
23322,153
3020,153
10174,153
10726,153
9217,153
10464,152
10376,152
9020,152
7555,152
1445,152
6136,152
9618,152
6601,152
11007,152
6829,152
5093,152
9586,152
6627,152
51035,151
4172,151
6635,151
2185,151
152185,151
7184,151
337968,151
57120,151
11331,151
7161,151
7430,151
1857,151
115106,151
4673,151
6256,151
3728,151
7187,151
90933,151
8237,151
79005,151
5062,151
293,150
9063,150
5770,150
6144,150
132320,150
7517,150
1488,150
5080,150
8503,150
58477,149
5245,149
1191,149
2289,149
10598,149
545,148
84292,148
57511,148
64753,148
10963,148
2670,148
10426,148
55835,147
54443,147
10514,147
79885,147
4722,147
10454,147
8243,147
10097,147
83755,147
5013,147
5052,147
7020,147
10657,147
10919,146
10768,146
4137,146
5701,146
65062,146
6599,146
90060,146
10594,146
9513,146
6139,145
9126,145
11051,145
3008,145
7094,145
3866,145
4233,145
1902,145
60491,145
10456,145
85302,145
8471,145
2035,145
147687,145
8626,145
115265,144
64395,144
8239,144
10320,144
7448,143
51512,143
6428,143
9919,143
121441,143
302,143
7681,143
10989,142
23385,142
3654,142
342574,142
80817,142
10445,142
7297,142
10992,142
3927,142
5359,141
8349,141
55697,141
56916,141
9817,141
11100,141
7307,141
4686,141
682,141
7150,141
51564,140
2113,140
4035,140
51366,140
7273,139
1399,139
54487,139
1917,139
11116,139
10432,138
92609,138
9129,138
51324,138
5573,138
80254,138
22933,138
386680,138
26003,138
9967,138
8202,138
56829,138
5296,138
1653,138
5584,138
5579,138
6272,138
5717,138
84140,138
1822,137
23210,137
596,137
1022,137
116840,137
6711,137
919,137
3875,137
8554,137
7124,137
23636,137
200081,137
8467,136
3688,136
6218,136
7979,136
83899,136
5903,136
3516,136
3006,136
84062,136
386683,136
1108,136
9119,136
11124,136
4436,136
8535,135
310,135
6232,135
595,135
55633,135
8678,135
10048,135
11035,135
5707,135
10146,135
5878,135
5777,135
1656,135
5700,135
2648,135
26043,134
202559,134
7280,134
29911,134
3799,134
699,134
3164,134
6158,134
5888,134
22827,134
9612,133
51343,133
154796,133
11335,133
5159,132
2771,132
353323,132
10006,132
5170,132
6921,132
7040,132
2969,132
8661,132
6632,132
51121,131
6427,131
84984,131
5704,131
7266,131
203562,131
2260,131
7324,131
79839,131
4957,131
8548,131
3297,130
9391,130
1024,130
27023,130
10253,130
6633,130
8676,130
55138,130
5034,130
6598,130
3661,130
6993,130
9219,130
79666,130
960,130
7332,130
4544,129
3476,129
3716,129
10262,129
2318,129
6631,129
171483,129
7088,129
5683,129
790,129
6234,129
2896,128
8543,128
9702,128
8576,128
10284,128
4093,128
23386,128
5709,128
3055,128
811,128
4839,128
10318,128
7170,128
6198,128
23118,128
1832,128
79797,128
84959,127
355,127
27101,127
5585,127
81565,127
124245,127
5706,127
2040,127
9477,127
6497,127
3832,127
3607,127
6776,127
9131,127
58480,127
10539,127
5725,127
6638,127
301,127
83900,126
6626,126
9368,126
369,126
8665,126
5688,126
7112,126
4110,126
6169,125
3643,125
55646,125
9094,125
4311,125
4194,125
54984,125
57062,125
448834,125
55165,125
23029,125
10933,125
6157,124
287015,124
5469,124
86,124
267,124
5250,124
4988,124
1434,124
7257,124
6293,124
23043,124
1050,124
6749,124
11339,123
26168,123
55170,123
6430,123
25894,123
5686,123
7024,123
23582,123
219541,123
5824,123
890,123
2300,123
51073,123
23367,122
9972,122
6176,122
10477,122
5434,122
1981,122
10133,122
5519,122
3146,122
8648,122
53615,122
284001,122
10128,122
54955,122
9128,121
598,121
823,121
1742,121
11060,121
163,121
79084,121
2011,121
60561,121
2263,121
220082,121
7133,121
23144,121
6432,121
149628,121
3191,121
1453,121
1786,120
996,120
5036,120
114990,120
2058,120
6181,120
3981,120
9318,120
658,120
23378,120
3964,120
30008,120
79600,120
491,120
10189,120
10382,120
81,120
22913,120
10238,120
328,120
85291,119
90,119
3188,119
3646,119
5796,119
5604,119
55211,119
10484,119
26993,119
3836,119
8338,119
9412,119
55872,119
6227,119
8161,119
5887,119
7023,119
26277,119
50628,119
7416,119
22985,118
26135,118
10498,118
11224,118
523,118
2923,118
11269,118
7311,118
6634,118
65125,118
8668,117
23126,117
8536,117
6840,117
6453,117
80184,117
23243,117
160,117
51295,117
5733,117
5339,117
6637,117
817,117
7421,117
9643,117
6446,117
23136,117
373156,116
51421,116
170082,116
2194,116
1993,116
9092,116
920,116
8087,116
1736,116
79577,116
4236,116
7295,116
1973,116
6504,116
4291,116
2961,116
1072,116
7082,116
813,116
2034,116
55692,115
3316,115
26747,115
51199,115
26994,115
27076,115
7375,115
10956,115
2244,115
90993,115
3636,115
6280,115
3107,115
4809,115
8295,115
167691,114
7465,114
6196,114
24140,114
974,114
10211,114
8737,114
5713,114
4361,113
5663,113
9774,113
9861,113
8445,113
1400,113
7409,113
7067,113
2078,113
7289,113
1027,113
79753,113
9263,113
7052,113
6737,113
5329,113
220988,112
22890,112
7168,112
10949,112
23543,112
23410,112
5693,112
6206,112
1198,112
356,112
9646,112
9474,112
5411,112
9851,112
23409,112
10213,112
22907,112
6209,112
83719,112
6595,112
3054,111
7248,111
4105,111
5478,111
10653,111
93380,111
10111,111
387082,111
23371,111
6161,111
29775,111
337880,110
10286,110
10969,110
11017,110
23650,110
10728,110
5603,110
862,110
147872,110
1051,110
5905,110
6880,110
8553,110
6498,110
24148,110
79618,110
51320,109
3215,109
3224,109
64978,109
8089,109
3189,109
57521,109
9252,109
6938,109
11178,109
25844,109
1495,109
57085,109
3575,109
8480,109
9221,109
8601,109
1891,109
3848,109
26060,109
54534,109
10188,109
1104,109
9447,109
3939,108
10865,108
4297,108
3093,108
3480,108
55720,108
3104,108
9984,108
5110,108
3598,108
5727,108
254187,107
9694,107
4092,107
9441,107
4478,107
386677,107
10540,107
7965,107
8805,107
57187,107
7278,107
8761,107
1039,107
7545,107
8887,106
49856,106
1739,106
51619,106
23770,106
660,106
3667,106
1406,106
333932,106
3376,106
6155,106
5094,106
326,106
57122,106
8766,106
6923,106
51592,106
4217,106
55763,106
4831,106
23557,106
11171,105
10946,105
10499,105
8907,105
55145,105
27229,105
55216,105
5921,105
509,105
7153,105
10951,105
23294,105
23193,105
